step,train_loss,step_s,tokens_s,cpu_pct,temp_c,gpu_pct,vram_mb,power_w
100,5.95465,0.2153,19021.4,1.2,60.0,99.0,1265.0,28.75
200,5.9525,0.2108,19426.3,1.4,60.0,0.0,1265.0,27.07
300,5.98791,0.2091,19588.2,3.1,60.0,24.0,1265.0,28.92
400,5.98522,0.2091,19586.5,1.9,61.0,99.0,1265.0,29.05
500,5.98901,0.2087,19630.1,7.3,59.0,17.0,1265.0,27.21
600,5.91453,0.2069,19795.4,2.6,60.0,2.0,1265.0,28.61
700,5.97499,0.207,19790.4,1.4,61.0,91.0,1265.0,29.98
800,5.99574,0.207,19787.5,1.3,60.0,0.0,1265.0,27.5
900,5.94861,0.2063,19852.2,0.9,60.0,0.0,1265.0,28.05
1000,5.97687,0.2064,19841.8,6.4,59.0,14.0,1265.0,26.72
1100,5.96751,0.2064,19847.2,0.9,61.0,24.0,1265.0,28.83
1200,5.97419,0.2063,19851.5,2.6,61.0,98.0,1265.0,29.04
1300,5.99407,0.2067,19819.5,3.9,61.0,72.0,1265.0,29.41
1400,5.96264,0.2065,19832.7,1.4,60.0,35.0,1265.0,28.37
1500,5.98132,0.2063,19856.6,4.6,60.0,72.0,1265.0,28.91
1600,6.01038,0.2063,19852.3,2.6,60.0,0.0,1265.0,27.17
1700,5.97259,0.2065,19839.0,1.3,61.0,99.0,1265.0,28.67
1800,6.0303,0.2062,19864.0,2.7,60.0,1.0,1265.0,28.42
1900,6.03942,0.2064,19846.7,1.3,60.0,35.0,1265.0,29.13
2000,6.01482,0.2064,19842.2,7.4,60.0,17.0,1265.0,28.54
2100,5.95494,0.2066,19824.5,2.2,60.0,0.0,1287.0,27.61
2200,5.99578,0.2063,19852.3,1.3,60.0,1.0,1268.0,26.93
2300,5.93816,0.2062,19864.7,1.3,60.0,0.0,1268.0,27.81
2400,6.03424,0.2061,19873.4,2.8,60.0,0.0,1268.0,28.17
2500,5.97075,0.2059,19897.1,6.2,60.0,1.0,1268.0,27.14
2600,6.01959,0.2055,19931.5,1.8,61.0,99.0,1268.0,28.82
2700,5.98484,0.2054,19940.4,4.8,61.0,98.0,1268.0,30.14
2800,5.98873,0.2055,19931.6,2.8,60.0,0.0,1268.0,27.52
2900,5.92869,0.2057,19916.7,1.3,60.0,0.0,1268.0,27.85
3000,5.99065,0.2057,19908.2,5.8,60.0,0.0,1268.0,27.7
3100,5.91774,0.2058,19903.3,0.9,61.0,92.0,1268.0,28.86
3200,6.0084,0.2058,19907.5,0.9,61.0,99.0,1268.0,29.25
3300,5.96423,0.2058,19906.0,2.2,60.0,9.0,1268.0,27.45
3400,5.97979,0.2058,19901.2,1.7,60.0,0.0,1268.0,27.34
3500,6.02683,0.2057,19911.9,5.5,60.0,5.0,1268.0,27.55
3600,5.9323,0.2055,19930.2,0.9,60.0,0.0,1268.0,28.94
3700,5.98582,0.2057,19909.8,1.9,60.0,31.0,1268.0,28.63
3800,5.92049,0.2056,19924.0,1.4,61.0,85.0,1268.0,30.05
3900,6.00076,0.2054,19938.5,1.3,61.0,99.0,1268.0,30.09
4000,5.94796,0.2055,19931.4,15.4,60.0,16.0,1268.0,28.82
4100,5.9764,0.2056,19920.9,1.8,61.0,27.0,1268.0,28.09
4200,5.97104,0.2063,19853.9,11.4,60.0,0.0,1268.0,27.12
4300,5.95824,0.2063,19850.7,1.4,60.0,71.0,1268.0,29.01
4400,6.04693,0.2061,19871.0,2.6,60.0,0.0,1268.0,27.58
4500,5.96729,0.2061,19871.3,7.6,60.0,4.0,1268.0,27.73
4600,5.97837,0.2062,19863.9,5.7,61.0,99.0,1268.0,29.24
4700,6.02519,0.2054,19941.6,0.5,61.0,99.0,1268.0,30.07
4800,5.96638,0.2038,20097.1,2.7,64.0,40.0,1318.0,47.6
4900,5.95262,0.1882,21769.7,0.9,65.0,67.0,1295.0,37.51
5000,5.98693,0.1791,22875.1,21.6,67.0,1.0,1314.0,49.43
5100,6.04047,0.1622,25253.9,0.9,69.0,0.0,1285.0,49.85
5200,5.97091,0.1455,28152.7,1.3,70.0,0.0,1288.0,50.0
5300,5.97507,0.1308,31307.2,9.7,70.0,1.0,1337.0,50.64
5400,5.95005,0.1308,31317.3,3.7,70.0,1.0,1342.0,51.07
5500,5.95302,0.1237,33124.7,8.2,70.0,17.0,1335.0,46.04
5600,5.91666,0.1242,32988.2,4.4,71.0,1.0,1332.0,48.64
5700,5.94983,0.1246,32869.4,4.6,73.0,0.0,1335.0,50.56
5800,5.93992,0.1245,32897.9,2.2,74.0,23.0,1327.0,49.53
5900,5.94572,0.1252,32719.2,9.2,71.0,0.0,1303.0,50.79
6000,5.97066,0.1248,32822.5,6.2,73.0,31.0,1295.0,49.64
