2026-09-15 12:36:22,749 | INFO    | main | ================================================================
2026-09-15 12:36:22,749 | INFO    | main | self-learning pipeline (steps=6000, model=6L/512E, vocab=4096)
2026-09-15 12:36:22,749 | INFO    | main | ================================================================
2026-09-15 12:36:22,961 | INFO    | data_engine | buffer has 687 valid block(s); skipping seed
2026-09-15 12:36:22,961 | INFO    | main | engine: Standard PyTorch AMP (forced)
2026-09-15 12:36:22,965 | INFO    | data_engine | corpus mmap already present (corpus_f7eb467c1d7b157a.npy)
2026-09-15 12:36:34,870 | INFO    | main | step 20      engine=pytorch train=7.8524 blocks=687 val_best=inf
2026-09-15 12:36:45,123 | INFO    | main | step 42      engine=pytorch train=7.2001 blocks=687 val_best=inf
2026-09-15 12:36:55,278 | INFO    | main | step 64      engine=pytorch train=6.7762 blocks=687 val_best=inf
2026-09-15 12:37:05,459 | INFO    | main | step 86      engine=pytorch train=6.4934 blocks=687 val_best=inf
2026-09-15 12:37:12,034 | INFO    | pytorch_trainer | M step=100    train=5.9546  19021.4 tok/s  step=0.215s  cpu=1.2% gpu=99.0% vram=1265.0MB temp=60.0C pw=28.75W
2026-09-15 12:37:15,747 | INFO    | main | step 108     engine=pytorch train=6.3131 blocks=687 val_best=inf
2026-09-15 12:37:26,007 | INFO    | main | step 130     engine=pytorch train=6.2041 blocks=687 val_best=inf
2026-09-15 12:37:36,281 | INFO    | main | step 152     engine=pytorch train=6.1286 blocks=687 val_best=inf
2026-09-15 12:37:46,525 | INFO    | main | step 174     engine=pytorch train=6.0771 blocks=687 val_best=inf
2026-09-15 12:37:56,707 | INFO    | main | step 196     engine=pytorch train=6.0416 blocks=687 val_best=inf
2026-09-15 12:37:58,624 | INFO    | pytorch_trainer | M step=200    train=5.9525  19426.3 tok/s  step=0.211s  cpu=1.4% gpu=0.0% vram=1265.0MB temp=60.0C pw=27.07W
2026-09-15 12:38:07,000 | INFO    | main | step 218     engine=pytorch train=6.1671 blocks=687 val_best=inf
2026-09-15 12:38:17,232 | INFO    | main | step 240     engine=pytorch train=6.1057 blocks=687 val_best=inf
2026-09-15 12:38:27,684 | INFO    | main | step 262     engine=pytorch train=6.0707 blocks=687 val_best=inf
2026-09-15 12:38:37,882 | INFO    | main | step 284     engine=pytorch train=6.0430 blocks=687 val_best=inf
2026-09-15 12:38:45,318 | INFO    | pytorch_trainer | M step=300    train=5.9879  19588.2 tok/s  step=0.209s  cpu=3.1% gpu=24.0% vram=1265.0MB temp=60.0C pw=28.92W
2026-09-15 12:38:45,820 | WARNING | self_learner | PLATEAU detected after 100 stagnant steps (best rolling avg 5.9830) - refreshing knowledge
2026-09-15 12:38:45,820 | INFO    | data_engine | knowledge discovery triggered
2026-09-15 12:38:54,134 | INFO    | data_engine | fetched 4/4 targets
2026-09-15 12:38:54,310 | INFO    | data_engine | collect_from(4 urls): 180 usable chunks
2026-09-15 12:38:54,533 | INFO    | data_engine | discovery round 85 added 0 block(s); buffer now 687
2026-09-15 12:38:54,533 | INFO    | main | step 301     engine=pytorch train=6.0294 blocks=687 val_best=inf
2026-09-15 12:39:04,572 | INFO    | main | step 322     engine=pytorch train=6.0198 blocks=687 val_best=inf
2026-09-15 12:39:14,825 | INFO    | main | step 344     engine=pytorch train=6.0085 blocks=687 val_best=inf
2026-09-15 12:39:25,022 | INFO    | main | step 366     engine=pytorch train=6.0083 blocks=687 val_best=inf
