step,train_loss,step_s,tokens_s,cpu_pct,temp_c,gpu_pct,vram_mb,power_w
100,5.98651,0.1572,26051.7,6.1,59.0,13.0,1286.0,44.34
200,5.33416,0.1417,28911.7,3.5,61.0,0.0,1303.0,46.55
300,4.87044,0.1365,30005.6,4.3,67.0,97.0,1303.0,48.21
400,4.5767,0.1346,30427.6,3.3,66.0,0.0,1303.0,47.94
500,4.43037,0.1336,30662.1,6.2,66.0,16.0,1303.0,45.1
600,4.14248,0.1285,31882.2,2.2,68.0,0.0,1303.0,50.06
700,4.16847,0.1278,32041.5,1.7,68.0,52.0,1303.0,47.59
800,4.18405,0.1297,31577.3,4.1,69.0,0.0,1303.0,50.34
900,4.15702,0.1292,31706.0,6.1,69.0,0.0,1303.0,49.4
1000,4.08195,0.1288,31799.5,8.0,69.0,18.0,1303.0,45.92
1100,4.10413,0.1283,31913.8,3.1,70.0,2.0,1303.0,48.66
1200,4.07933,0.1298,31551.2,0.9,70.0,32.0,1303.0,49.51
1300,3.96382,0.1289,31779.2,3.7,71.0,0.0,1303.0,50.6
1400,3.95138,0.1283,31926.5,1.7,70.0,0.0,1303.0,49.25
1500,3.87074,0.1296,31602.0,6.9,72.0,86.0,1303.0,50.99
1600,3.82188,0.1292,31709.6,5.5,71.0,0.0,1303.0,50.69
1700,3.90139,0.1339,30597.8,3.1,67.0,27.0,1276.0,30.53
1800,3.86537,0.149,27481.2,1.3,62.0,0.0,1276.0,28.23
1900,3.64127,0.1658,24697.6,3.2,61.0,86.0,1276.0,29.58
2000,3.6189,0.1803,22715.6,9.7,59.0,46.0,1276.0,29.46
2100,3.59548,0.1963,20870.1,3.5,58.0,0.0,1276.0,27.5
2200,3.52255,0.2068,19803.9,4.1,59.0,34.0,1276.0,28.52
2300,3.56881,0.2069,19800.5,2.2,55.0,0.0,1276.0,8.08
2400,3.66944,0.2072,19764.2,2.2,59.0,98.0,1276.0,28.72
2500,3.46757,0.2072,19765.6,7.0,58.0,12.0,1276.0,26.63
2600,3.4316,0.2072,19772.8,0.5,60.0,98.0,1276.0,29.42
2700,3.4391,0.2072,19765.1,2.2,60.0,23.0,1276.0,27.77
2800,3.43455,0.2072,19772.8,3.5,61.0,76.0,1276.0,29.43
2900,3.39827,0.2067,19817.4,1.7,60.0,82.0,1276.0,28.29
3000,3.38464,0.2066,19823.4,11.5,59.0,8.0,1276.0,27.02
3100,3.32594,0.2072,19769.8,2.6,58.0,0.0,1276.0,27.4
3200,3.3633,0.2072,19773.0,3.1,60.0,99.0,1276.0,28.85
3300,3.35294,0.2072,19765.6,1.8,59.0,1.0,1276.0,28.11
3400,3.35878,0.2072,19763.7,4.4,61.0,98.0,1276.0,29.58
3500,3.22142,0.2074,19744.6,7.9,59.0,9.0,1276.0,26.99
3600,3.18806,0.207,19785.6,4.8,61.0,73.0,1276.0,27.78
3700,3.2635,0.207,19788.3,0.5,60.0,0.0,1276.0,27.02
3800,3.02098,0.2069,19800.7,1.9,60.0,28.0,1276.0,27.86
3900,3.21616,0.2069,19797.6,3.1,61.0,0.0,1276.0,28.32
4000,3.16665,0.2068,19802.4,9.7,60.0,17.0,1276.0,27.09
4100,3.18436,0.2068,19809.5,5.2,60.0,0.0,1276.0,26.82
4200,3.24733,0.2069,19799.5,1.9,60.0,3.0,1276.0,28.53
4300,3.12845,0.2071,19773.8,2.8,60.0,0.0,1276.0,27.54
4400,3.29909,0.2071,19778.5,7.3,60.0,0.0,1276.0,27.66
4500,3.13993,0.207,19791.6,9.7,60.0,0.0,1276.0,28.71
4600,3.17263,0.2071,19781.4,4.8,60.0,1.0,1276.0,27.04
4700,3.16808,0.207,19786.8,1.8,61.0,99.0,1276.0,29.14
4800,3.13956,0.2068,19805.2,3.1,60.0,0.0,1276.0,27.39
4900,3.02739,0.2069,19800.8,2.2,61.0,56.0,1276.0,28.27
5000,3.10966,0.2069,19795.0,6.4,59.0,18.0,1276.0,27.24
5100,3.17969,0.2069,19793.8,2.6,60.0,0.0,1276.0,27.28
5200,3.0635,0.2068,19807.6,2.9,60.0,36.0,1276.0,28.4
5300,2.98984,0.2069,19797.0,3.1,60.0,0.0,1276.0,27.49
5400,3.0751,0.2069,19796.7,5.7,61.0,98.0,1276.0,29.34
5500,2.93208,0.2068,19808.1,6.2,60.0,17.0,1276.0,27.33
5600,2.87075,0.2063,19853.1,1.3,60.0,0.0,1276.0,27.7
5700,3.01016,0.2064,19848.0,1.8,60.0,0.0,1276.0,27.3
5800,2.99279,0.2063,19856.6,1.3,60.0,0.0,1276.0,28.08
5900,2.95795,0.2061,19873.8,2.2,60.0,29.0,1276.0,28.54
6000,3.02101,0.206,19883.9,9.7,59.0,17.0,1276.0,25.55
