2026-09-15 11:04:06,982 | INFO    | main | ================================================================
2026-09-15 11:04:06,982 | INFO    | main | self-learning pipeline (steps=6000, model=6L/512E, vocab=4096)
2026-09-15 11:04:06,982 | INFO    | main | ================================================================
2026-09-15 11:04:11,221 | INFO    | data_engine | buffer has 687 valid block(s); skipping seed
2026-09-15 11:04:11,221 | INFO    | main | engine: Standard PyTorch AMP (forced)
2026-09-15 11:04:11,229 | INFO    | data_engine | corpus mmap already present (corpus_f7eb467c1d7b157a.npy)
2026-09-15 11:04:23,742 | INFO    | main | step 20      engine=pytorch train=8.0829 blocks=687 val_best=inf
2026-09-15 11:04:33,936 | INFO    | main | step 46      engine=pytorch train=7.4715 blocks=687 val_best=inf
2026-09-15 11:04:44,112 | INFO    | main | step 72      engine=pytorch train=6.9425 blocks=687 val_best=inf
2026-09-15 11:04:54,324 | INFO    | main | step 98      engine=pytorch train=6.5735 blocks=687 val_best=inf
2026-09-15 11:04:55,135 | INFO    | pytorch_trainer | M step=100    train=5.9865  26051.7 tok/s  step=0.157s  cpu=6.1% gpu=13.0% vram=1286.0MB temp=59.0C pw=44.34W
2026-09-15 11:05:04,373 | INFO    | main | step 124     engine=pytorch train=6.3490 blocks=687 val_best=inf
2026-09-15 11:05:14,743 | INFO    | main | step 151     engine=pytorch train=6.1751 blocks=687 val_best=inf
2026-09-15 11:05:25,076 | INFO    | main | step 178     engine=pytorch train=5.9784 blocks=687 val_best=inf
2026-09-15 11:05:33,664 | INFO    | pytorch_trainer | M step=200    train=5.3342  28911.7 tok/s  step=0.142s  cpu=3.5% gpu=0.0% vram=1303.0MB temp=61.0C pw=46.55W
2026-09-15 11:05:35,226 | INFO    | main | step 204     engine=pytorch train=5.7592 blocks=687 val_best=inf
2026-09-15 11:05:45,287 | INFO    | main | step 230     engine=pytorch train=5.5485 blocks=687 val_best=inf
2026-09-15 11:05:55,636 | INFO    | main | step 256     engine=pytorch train=5.3596 blocks=687 val_best=inf
2026-09-15 11:06:05,950 | INFO    | main | step 283     engine=pytorch train=5.1850 blocks=687 val_best=inf
2026-09-15 11:06:12,509 | INFO    | pytorch_trainer | M step=300    train=4.8704  30005.6 tok/s  step=0.137s  cpu=4.3% gpu=97.0% vram=1303.0MB temp=67.0C pw=48.21W
2026-09-15 11:06:16,252 | INFO    | main | step 310     engine=pytorch train=5.0477 blocks=687 val_best=inf
2026-09-15 11:06:26,545 | INFO    | main | step 337     engine=pytorch train=4.9230 blocks=687 val_best=inf
2026-09-15 11:06:36,617 | INFO    | main | step 363     engine=pytorch train=4.8383 blocks=687 val_best=inf
2026-09-15 11:06:46,884 | INFO    | main | step 389     engine=pytorch train=4.7660 blocks=687 val_best=inf
