step,train_loss,step_s,tokens_s,cpu_pct,temp_c,gpu_pct,vram_mb,power_w
100,5.95748,0.148,27668.3,4.2,60.0,83.0,1118.0,66.24
200,5.95135,0.1355,30236.3,6.1,63.0,92.0,1118.0,65.18
300,5.98664,0.1314,31166.4,6.2,66.0,76.0,1122.0,65.55
400,5.98339,0.1296,31612.1,13.3,69.0,78.0,1128.0,65.96
500,5.98711,0.1285,31866.1,13.0,72.0,60.0,1126.0,66.53
600,5.90536,0.1238,33095.9,3.9,74.0,78.0,1133.0,67.97
700,5.97539,0.1234,33186.7,6.2,75.0,91.0,1104.0,66.42
800,5.9915,0.1235,33168.1,2.1,70.0,98.0,1110.0,33.73
900,5.94729,0.1244,32928.4,10.0,75.0,85.0,1127.0,65.18
1000,5.97715,0.1259,32544.1,11.4,71.0,17.0,1118.0,61.41
1100,5.96478,0.1273,32166.7,11.1,74.0,97.0,1116.0,65.06
1100,5.94173,0.157,26087.2,11.3,72.0,54.0,1112.0,63.27
1200,5.94474,0.1471,27839.8,22.2,72.0,62.0,1112.0,61.65
1300,5.97334,0.1433,28578.4,1.7,76.0,49.0,1116.0,62.94
1400,5.97465,0.1434,28560.2,100.0,69.0,90.0,1102.0,32.63
1500,5.97817,0.1416,28923.6,8.3,76.0,97.0,1109.0,62.79
1600,5.90049,0.1369,29924.8,5.0,75.0,75.0,1103.0,49.68
1700,5.97075,0.1366,29990.0,6.8,73.0,94.0,1108.0,63.17
1800,5.98625,0.136,30113.4,10.8,76.0,54.0,1109.0,56.49
1900,5.93991,0.1357,30182.6,12.3,75.0,97.0,1114.0,63.51
2000,5.97286,0.1363,30060.6,14.2,71.0,17.0,1108.0,59.25
2100,5.9614,0.1374,29803.1,3.6,76.0,74.0,1124.0,63.66
2200,5.9684,0.1385,29566.5,17.6,75.0,49.0,1123.0,62.53
2100,5.94062,0.157,26084.8,3.9,69.0,0.0,1114.0,49.2
2200,5.9415,0.1463,27999.1,1.3,68.0,0.0,1124.0,49.74
2300,5.96982,0.1404,29168.1,0.5,69.0,0.0,1103.0,49.98
2400,5.9693,0.1385,29580.4,3.1,74.0,96.0,1117.0,49.75
2500,5.97396,0.1371,29886.1,6.9,70.0,15.0,1103.0,46.05
2600,5.89897,0.1315,31143.2,0.5,70.0,35.0,1123.0,49.02
2700,5.96852,0.1314,31170.0,18.4,70.0,43.0,1106.0,47.51
2800,5.98365,0.1337,30626.7,4.8,72.0,0.0,1198.0,50.83
2900,5.93585,0.134,30575.2,0.9,70.0,0.0,1242.0,49.93
3000,5.97126,0.1334,30697.2,6.1,70.0,17.0,1227.0,46.26
3100,5.95887,0.1333,30718.2,1.4,74.0,18.0,1227.0,47.27
3200,5.96625,0.1327,30869.9,5.8,71.0,20.0,1253.0,47.34
3300,5.98703,0.1303,31423.2,3.7,73.0,91.0,1227.0,49.2
3400,5.95422,0.1294,31663.9,3.1,71.0,0.0,1227.0,50.23
3500,5.97471,0.1293,31666.8,6.4,70.0,17.0,1227.0,46.12
3600,6.00655,0.1293,31676.2,0.9,73.0,13.0,1227.0,47.72
3700,5.96398,0.1292,31710.9,1.8,71.0,1.0,1289.0,48.35
3800,6.02469,0.1293,31682.7,4.8,70.0,38.0,1332.0,47.68
3900,6.03395,0.1293,31685.1,1.7,71.0,0.0,1332.0,50.37
4000,6.00758,0.1293,31677.4,7.1,71.0,17.0,1332.0,48.38
4100,5.94796,0.1293,31671.8,0.5,73.0,9.0,1332.0,49.95
4200,5.99284,0.1289,31780.5,0.9,70.0,0.0,1332.0,48.41
4300,5.9337,0.1288,31799.8,1.8,71.0,0.0,1332.0,50.37
4400,6.03054,0.1288,31790.8,0.9,74.0,55.0,1332.0,47.9
4500,5.96692,0.1289,31781.6,16.1,71.0,0.0,1332.0,49.07
4600,6.01427,0.1289,31784.8,0.5,72.0,0.0,1332.0,50.26
4700,5.98082,0.1289,31782.3,1.4,74.0,74.0,1332.0,50.76
4800,5.98666,0.1292,31700.1,9.1,71.0,2.0,1357.0,48.9
4900,5.92601,0.1298,31564.2,4.6,74.0,95.0,1409.0,50.8
5000,5.98604,0.13,31513.6,7.3,72.0,0.0,1435.0,50.83
5100,5.91582,0.1302,31459.2,2.8,71.0,0.0,1405.0,50.7
5200,6.00697,0.1308,31326.4,3.5,71.0,1.0,1403.0,49.33
5300,5.96202,0.1306,31365.4,3.6,72.0,1.0,1372.0,50.21
5400,5.97677,0.1303,31436.3,1.5,71.0,0.0,1372.0,46.73
5500,6.02501,0.1303,31445.5,7.1,71.0,19.0,1364.0,46.35
5600,5.93064,0.1302,31468.4,1.3,72.0,3.0,1364.0,49.16
5700,5.98235,0.1297,31588.0,11.4,72.0,48.0,1364.0,50.12
5800,5.91776,0.131,31260.6,12.3,71.0,1.0,1372.0,46.91
5900,5.99899,0.1322,30986.7,3.9,71.0,2.0,1536.0,50.36
6000,5.94542,0.133,30789.1,13.4,70.0,15.0,1496.0,44.06
6100,5.97429,0.1333,30734.7,4.2,71.0,0.0,1491.0,50.28
6200,5.96708,0.1335,30670.8,3.9,71.0,0.0,1510.0,50.8
6300,5.95661,0.1325,30920.9,1.8,73.0,0.0,1292.0,48.84
6400,6.04568,0.131,31275.8,2.1,71.0,33.0,1292.0,49.54
6500,5.96581,0.1298,31545.4,5.9,73.0,1.0,1292.0,49.55
6600,5.97711,0.1294,31653.3,2.2,74.0,70.0,1292.0,49.98
6700,6.02119,0.1295,31621.1,1.7,70.0,0.0,1292.0,48.44
6800,5.96581,0.129,31759.3,1.3,71.0,0.0,1292.0,48.2
