step,train_loss,step_s,tokens_s,cpu_pct,temp_c,gpu_pct,vram_mb,power_w
100,5.95503,0.1303,31430.4,1.8,70.0,51.0,1251.0,48.3
200,5.95436,0.121,33856.6,1.8,70.0,22.0,1251.0,49.04
300,5.98412,0.1186,34546.2,1.9,73.0,55.0,1251.0,49.18
400,5.98069,0.1168,35058.2,2.3,72.0,22.0,1251.0,48.98
500,5.98843,0.1159,35344.8,7.0,73.0,24.0,1251.0,49.02
600,5.90548,0.1122,36520.7,0.5,71.0,6.0,1251.0,49.49
700,5.97534,0.1122,36509.0,1.9,73.0,0.0,1251.0,48.56
800,5.98913,0.1118,36634.3,8.3,71.0,0.0,1251.0,49.33
900,5.94849,0.1119,36617.3,2.3,72.0,63.0,1251.0,49.47
1000,5.97689,0.1118,36635.5,5.4,71.0,18.0,1251.0,45.08
1100,5.96537,0.1121,36527.6,1.3,72.0,0.0,1251.0,49.09
1200,5.97154,0.1121,36529.4,0.5,71.0,18.0,1251.0,47.58
1300,5.99144,0.1121,36532.4,1.8,72.0,0.0,1251.0,49.35
1400,5.96078,0.1121,36539.9,1.9,73.0,4.0,1251.0,47.4
1500,5.98207,0.1121,36545.7,4.8,71.0,0.0,1251.0,49.04
1600,6.01007,0.1118,36650.4,1.3,71.0,0.0,1251.0,49.01
1700,5.97151,0.1118,36651.8,1.3,72.0,0.0,1251.0,49.03
1800,6.02909,0.1118,36651.6,1.8,74.0,97.0,1251.0,48.57
1900,6.03976,0.1117,36655.1,4.2,71.0,0.0,1251.0,49.06
2000,6.01323,0.1118,36649.8,6.8,71.0,18.0,1251.0,43.62
2100,5.95544,0.1118,36646.0,1.4,74.0,0.0,1251.0,48.8
2200,5.99607,0.1118,36649.2,2.6,71.0,0.0,1251.0,49.43
2300,5.93883,0.1117,36655.9,3.1,74.0,91.0,1251.0,49.7
2400,6.03334,0.1117,36659.5,3.2,71.0,0.0,1251.0,49.28
2500,5.96932,0.1117,36662.4,4.5,74.0,27.0,1251.0,49.28
2600,6.01891,0.1117,36660.8,2.8,71.0,0.0,1251.0,48.63
2700,5.98495,0.1117,36658.9,0.5,71.0,0.0,1251.0,48.67
2800,5.98965,0.1117,36654.8,2.3,71.0,0.0,1251.0,49.2
2900,5.92884,0.1118,36650.7,1.3,71.0,40.0,1251.0,48.73
3000,5.98966,0.1118,36650.4,4.7,71.0,0.0,1251.0,49.38
3100,5.9174,0.1117,36659.0,0.9,71.0,26.0,1251.0,49.15
3200,6.00731,0.1117,36664.6,1.5,71.0,46.0,1251.0,46.43
3300,5.96343,0.1117,36661.3,1.5,71.0,29.0,1251.0,45.94
3400,5.97923,0.1117,36660.6,0.5,72.0,0.0,1251.0,49.2
3500,6.02451,0.1117,36665.2,4.6,71.0,12.0,1251.0,49.06
3600,5.93235,0.1117,36663.4,1.3,71.0,0.0,1251.0,49.06
3700,5.98549,0.112,36559.0,3.1,71.0,0.0,1232.0,50.15
3800,5.91801,0.113,36261.3,4.9,74.0,96.0,1241.0,50.17
3900,6.00164,0.1139,35977.0,3.1,73.0,20.0,1231.0,49.92
4000,5.9465,0.1142,35859.0,6.7,70.0,19.0,1220.0,43.31
4100,5.97567,0.1148,35685.3,10.0,71.0,40.0,1319.0,49.64
4200,5.96945,0.1149,35645.4,2.3,73.0,97.0,1336.0,49.59
4300,5.97572,0.1171,34978.0,0.9,65.0,0.0,1330.0,47.47
4400,5.99305,0.1164,35197.4,3.9,68.0,0.0,1330.0,49.08
4500,5.97327,0.1161,35275.3,6.4,72.0,37.0,1332.0,49.35
4600,6.01086,0.1159,35348.6,2.4,72.0,0.0,1344.0,49.25
4700,5.97644,0.1155,35470.6,1.3,71.0,0.0,1331.0,48.85
4800,6.00245,0.1124,36444.2,2.2,74.0,44.0,1331.0,47.74
4900,5.99113,0.1128,36300.9,0.9,74.0,77.0,1331.0,48.19
5000,6.00272,0.1128,36300.8,6.4,74.0,73.0,1326.0,49.24
5100,5.96909,0.1127,36343.9,2.2,71.0,0.0,1313.0,49.77
5200,6.0144,0.113,36244.9,3.1,71.0,0.0,1316.0,49.25
5300,5.99091,0.1134,36125.2,0.9,71.0,0.0,1324.0,47.83
5400,5.97319,0.113,36258.3,3.8,75.0,69.0,1332.0,48.43
5500,5.92696,0.1132,36184.1,7.1,71.0,0.0,1317.0,49.21
5600,5.98971,0.1131,36215.1,0.5,72.0,76.0,1317.0,49.17
5700,5.95568,0.1133,36150.4,1.4,71.0,76.0,1317.0,50.01
5800,6.02328,0.1129,36264.6,5.1,71.0,0.0,1317.0,49.19
5900,5.94727,0.1128,36309.2,1.4,73.0,0.0,1317.0,49.69
6000,5.9938,0.1125,36400.2,7.6,71.0,19.0,1317.0,48.13
