step,train_loss,step_s,tokens_s,cpu_pct,temp_c,gpu_pct,vram_mb,power_w
100,5.96681,0.136,30108.9,3.1,57.0,1.0,1335.0,46.88
200,5.08085,0.1254,32670.6,2.2,62.0,0.0,1335.0,47.43
300,4.76574,0.1213,33768.7,1.9,64.0,10.0,1342.0,48.33
400,4.51844,0.1193,34332.3,1.3,67.0,0.0,1337.0,48.05
500,4.3833,0.118,34707.4,5.7,69.0,90.0,1342.0,49.39
600,4.11,0.1135,36090.1,2.6,70.0,97.0,1327.0,48.35
700,4.1411,0.113,36247.4,4.3,72.0,55.0,1327.0,49.73
800,4.16682,0.1128,36300.8,1.3,69.0,0.0,1327.0,49.16
900,4.13423,0.1126,36363.2,1.9,70.0,0.0,1327.0,49.22
1000,4.03918,0.1125,36399.1,5.1,71.0,0.0,1327.0,49.48
1100,4.0712,0.1123,36469.1,2.3,70.0,8.0,1327.0,49.25
1200,4.02456,0.1123,36459.4,1.4,70.0,0.0,1327.0,49.43
1300,3.91711,0.1124,36447.2,3.1,74.0,97.0,1327.0,48.54
1400,3.89575,0.1124,36442.0,3.2,72.0,83.0,1327.0,49.24
1500,3.83584,0.1124,36433.6,7.3,74.0,49.0,1327.0,47.71
1600,3.77438,0.1124,36430.2,1.4,71.0,21.0,1327.0,46.66
1700,3.87318,0.1124,36425.2,2.6,74.0,94.0,1327.0,48.99
1800,3.80006,0.1125,36408.8,4.8,73.0,79.0,1327.0,49.08
1900,3.61768,0.1126,36389.0,1.2,71.0,0.0,1327.0,49.41
2000,3.58438,0.1126,36366.3,8.3,71.0,18.0,1327.0,43.83
2100,3.57813,0.1129,36294.0,1.4,71.0,0.0,1330.0,49.67
2200,3.50573,0.113,36258.0,1.4,72.0,0.0,1328.0,49.27
2300,3.54484,0.113,36247.8,2.8,71.0,26.0,1328.0,50.02
2400,3.65597,0.1132,36189.8,0.4,72.0,0.0,1350.0,49.67
2500,3.45008,0.1134,36120.0,9.3,75.0,90.0,1326.0,49.9
2600,3.4173,0.1134,36111.2,1.7,73.0,0.0,1310.0,49.08
2700,3.42373,0.1134,36106.5,3.1,73.0,86.0,1317.0,50.1
2800,3.41683,0.1134,36109.0,1.3,74.0,0.0,1312.0,50.09
2900,3.38239,0.1133,36146.5,2.7,71.0,20.0,1372.0,50.43
3000,3.36941,0.1131,36228.0,4.9,71.0,18.0,1317.0,45.51
3100,3.30469,0.1128,36318.9,0.9,74.0,10.0,1311.0,49.71
3200,3.34926,0.1126,36384.6,0.4,73.0,0.0,1311.0,49.94
3300,3.34538,0.1129,36287.8,18.8,72.0,34.0,1288.0,50.25
3400,3.34269,0.113,36241.4,2.8,75.0,90.0,1297.0,48.95
3500,3.2286,0.1131,36225.4,6.0,72.0,1.0,1282.0,49.46
3600,3.2045,0.1136,36041.3,2.7,72.0,0.0,1289.0,50.15
3700,3.26701,0.114,35914.3,1.8,71.0,50.0,1296.0,49.71
3800,2.99149,0.1138,36000.9,0.9,73.0,1.0,1294.0,48.79
3900,3.22521,0.1136,36051.3,3.5,71.0,0.0,1293.0,47.01
4000,3.15584,0.1138,35987.5,8.2,71.0,14.0,1279.0,48.49
4100,3.15255,0.1134,36131.8,2.3,72.0,0.0,1282.0,49.6
4200,3.25494,0.1131,36222.7,1.8,72.0,39.0,1282.0,49.74
4300,3.127,0.1136,36062.1,3.0,69.0,0.0,1282.0,49.37
4400,3.28966,0.1135,36095.1,2.2,73.0,95.0,1282.0,48.73
4500,3.13347,0.1132,36183.2,7.1,71.0,9.0,1282.0,45.81
4600,3.15248,0.1131,36209.3,1.4,74.0,77.0,1282.0,47.92
4700,3.18395,0.1131,36212.1,3.7,75.0,82.0,1282.0,50.12
4800,3.11888,0.1126,36386.6,1.5,71.0,0.0,1282.0,46.69
4900,3.03383,0.1126,36368.0,1.1,74.0,97.0,1282.0,49.61
5000,3.10413,0.1127,36348.3,5.6,71.0,18.0,1282.0,45.08
5100,3.1718,0.1133,36160.9,2.3,71.0,0.0,1282.0,47.06
5200,3.06022,0.1133,36144.9,1.4,72.0,0.0,1282.0,49.13
5300,2.97821,0.1133,36144.9,3.1,72.0,32.0,1282.0,50.17
5400,3.08166,0.1133,36144.4,3.0,72.0,0.0,1282.0,46.19
5500,2.92258,0.1133,36148.3,4.8,71.0,2.0,1282.0,47.76
5600,2.88335,0.1129,36282.1,3.9,72.0,0.0,1294.0,49.83
5700,3.01317,0.1131,36229.4,1.7,72.0,0.0,1280.0,49.82
5800,2.97746,0.1134,36132.3,2.3,72.0,57.0,1290.0,47.81
5900,2.94749,0.114,35919.4,1.9,72.0,0.0,1282.0,49.81
6000,3.01272,0.1141,35907.0,7.2,71.0,14.0,1283.0,47.51
