2026-09-18 16:44:34,639 | INFO    | main | ================================================================
2026-09-18 16:44:34,639 | INFO    | main | self-learning pipeline (steps=18000, model=6L/512E, vocab=4096)
2026-09-18 16:44:34,641 | INFO    | main | ================================================================
2026-09-18 16:44:34,858 | INFO    | data_engine | buffer has 693 valid block(s); skipping seed
2026-09-18 16:44:34,858 | INFO    | main | engine: Standard PyTorch AMP (forced)
2026-09-18 16:44:34,860 | INFO    | data_engine | corpus mmap already present (corpus_5ac147a51cc3d8f2.npy)
2026-09-18 16:44:46,590 | INFO    | main | step 22      engine=pytorch train=8.3343 blocks=693 val_best=inf
2026-09-18 16:44:56,672 | INFO    | main | step 48      engine=pytorch train=7.9330 blocks=693 val_best=inf
2026-09-18 16:45:06,900 | INFO    | main | step 74      engine=pytorch train=7.4261 blocks=693 val_best=inf
2026-09-18 16:45:17,116 | INFO    | pytorch_trainer | M step=100    train=6.0906  27703.9 tok/s  step=0.148s  cpu=7.4% gpu=0.0% vram=1319.0MB temp=71.0C pw=50.29W
2026-09-18 16:45:17,498 | INFO    | main | step 101     engine=pytorch train=6.9062 blocks=693 val_best=inf
2026-09-18 16:45:27,630 | INFO    | main | step 127     engine=pytorch train=6.5457 blocks=693 val_best=inf
2026-09-18 16:45:37,859 | INFO    | main | step 154     engine=pytorch train=6.3043 blocks=693 val_best=inf
2026-09-18 16:45:48,158 | INFO    | main | step 181     engine=pytorch train=6.0542 blocks=693 val_best=inf
2026-09-18 16:45:55,501 | INFO    | pytorch_trainer | M step=200    train=5.2656  30058.7 tok/s  step=0.136s  cpu=1.3% gpu=18.0% vram=1319.0MB temp=74.0C pw=47.52W
2026-09-18 16:45:58,181 | INFO    | main | step 207     engine=pytorch train=5.7558 blocks=693 val_best=inf
2026-09-18 16:46:08,360 | INFO    | main | step 232     engine=pytorch train=5.4448 blocks=693 val_best=inf
2026-09-18 16:46:18,581 | INFO    | main | step 258     engine=pytorch train=5.1737 blocks=693 val_best=inf
2026-09-18 16:46:28,807 | INFO    | main | step 284     engine=pytorch train=4.9560 blocks=693 val_best=inf
2026-09-18 16:46:34,935 | INFO    | pytorch_trainer | M step=300    train=4.6380  30942.2 tok/s  step=0.132s  cpu=4.5% gpu=51.0% vram=1319.0MB temp=75.0C pw=49.94W
2026-09-18 16:46:38,991 | INFO    | main | step 310     engine=pytorch train=4.7810 blocks=693 val_best=inf
