step,train_loss,step_s,tokens_s,cpu_pct,temp_c,gpu_pct,vram_mb,power_w
100,6.09062,0.1478,27703.9,7.4,71.0,0.0,1319.0,50.29
200,5.26563,0.1363,30058.7,1.3,74.0,18.0,1319.0,47.52
300,4.63795,0.1324,30942.2,4.5,75.0,51.0,1319.0,49.94
400,4.33934,0.1302,31468.4,0.5,72.0,28.0,1319.0,49.23
500,4.22312,0.1305,31379.0,5.2,71.0,17.0,1319.0,45.78
600,4.05835,0.1257,32577.3,9.9,72.0,0.0,1319.0,50.5
700,3.99154,0.1261,32489.3,3.1,71.0,0.0,1319.0,49.96
800,3.77336,0.1273,32168.3,1.7,74.0,21.0,1319.0,48.08
900,3.75605,0.1273,32177.5,2.2,72.0,14.0,1319.0,50.31
1000,3.66077,0.1263,32433.6,4.8,72.0,0.0,1319.0,50.79
1100,3.54915,0.1271,32223.9,8.9,71.0,30.0,1319.0,47.35
1200,3.64726,0.1274,32156.4,2.1,74.0,6.0,1319.0,50.58
1300,3.56158,0.1262,32455.4,4.4,72.0,0.0,1319.0,49.88
1400,3.43855,0.1266,32366.6,2.6,75.0,55.0,1319.0,50.04
1500,3.45531,0.1275,32116.3,4.7,71.0,17.0,1319.0,46.35
1600,3.38732,0.1264,32408.3,0.9,73.0,0.0,1319.0,51.02
1700,3.28236,0.1261,32470.2,1.8,72.0,0.0,1319.0,50.1
1800,3.22001,0.1265,32391.2,0.9,75.0,79.0,1319.0,51.41
1900,3.2937,0.1271,32229.4,2.2,71.0,0.0,1319.0,47.03
2000,3.36423,0.1256,32621.9,8.0,71.0,16.0,1319.0,48.99
2100,3.21641,0.1267,32330.0,0.9,72.0,66.0,1319.0,50.7
2200,3.19715,0.1272,32204.8,0.4,72.0,0.0,1319.0,48.8
2300,3.04601,0.1263,32429.1,0.9,75.0,78.0,1319.0,51.15
2400,3.0871,0.1255,32636.0,3.0,75.0,87.0,1319.0,50.51
2500,3.07573,0.1271,32220.6,6.2,72.0,0.0,1319.0,47.9
2600,3.02569,0.126,32515.1,0.7,71.0,0.0,1319.0,46.49
2700,3.206,0.1252,32712.7,1.4,71.0,0.0,1319.0,49.65
2800,2.92232,0.1262,32460.8,2.6,72.0,0.0,1319.0,46.66
2900,3.12046,0.1268,32304.5,0.9,75.0,15.0,1319.0,50.26
3000,2.91042,0.1248,32819.3,4.5,72.0,18.0,1319.0,46.15
3100,2.99454,0.1251,32745.5,0.8,72.0,0.0,1319.0,46.47
3200,2.91825,0.1265,32372.5,1.3,73.0,94.0,1319.0,50.69
3300,2.9302,0.1258,32567.0,2.2,72.0,3.0,1319.0,50.75
3400,2.86997,0.1254,32653.0,0.9,74.0,0.0,1319.0,49.87
3500,2.8939,0.1273,32182.6,21.5,71.0,0.0,1319.0,46.51
3600,2.80817,0.1276,32109.7,4.4,75.0,90.0,1319.0,50.58
3700,2.87987,0.126,32520.3,2.3,72.0,0.0,1319.0,47.17
3800,2.85307,0.1266,32349.5,1.3,72.0,0.0,1319.0,51.37
3900,2.85173,0.1274,32155.5,0.9,74.0,94.0,1319.0,50.39
4000,2.712,0.1257,32585.1,8.3,72.0,18.0,1319.0,47.4
4100,2.80441,0.1253,32691.5,0.9,72.0,0.0,1319.0,49.64
4200,2.75101,0.1271,32227.0,1.8,71.0,48.0,1319.0,46.39
4300,2.73936,0.1266,32362.4,1.4,72.0,0.0,1319.0,46.38
4400,2.82915,0.1255,32629.0,2.7,75.0,12.0,1319.0,51.02
4500,2.66561,0.1268,32294.4,5.5,71.0,10.0,1319.0,47.63
4600,2.58478,0.1275,32134.7,0.4,75.0,81.0,1319.0,49.92
4700,2.82048,0.1257,32578.0,1.7,75.0,90.0,1319.0,49.53
4800,2.76613,0.1257,32597.5,1.5,75.0,86.0,1319.0,51.69
4900,2.7675,0.127,32251.5,0.9,72.0,0.0,1319.0,48.34
5000,2.44052,0.1267,32341.1,4.8,74.0,12.0,1319.0,50.31
5100,2.54595,0.1259,32538.5,1.3,75.0,55.0,1319.0,48.47
5200,2.51005,0.1274,32144.6,1.3,75.0,66.0,1319.0,48.86
5300,2.52033,0.1281,31975.0,0.4,75.0,95.0,1319.0,50.08
5400,2.48917,0.1269,32281.5,1.5,75.0,55.0,1319.0,50.44
5500,2.42429,0.1261,32489.2,5.0,71.0,1.0,1319.0,45.78
5600,2.56959,0.1278,32060.7,1.3,72.0,0.0,1319.0,50.61
5700,2.66672,0.1261,32480.7,1.3,72.0,0.0,1319.0,49.37
5800,2.33535,0.1257,32595.4,2.2,75.0,66.0,1319.0,49.84
5900,2.48709,0.1276,32100.7,2.6,75.0,49.0,1319.0,49.47
6000,2.55421,0.1273,32182.3,8.5,72.0,17.0,1319.0,48.67
6100,2.52789,0.1265,32388.5,0.9,71.0,0.0,1319.0,48.82
6200,2.38405,0.127,32264.2,0.9,74.0,85.0,1319.0,49.82
6300,2.36546,0.1279,32021.8,0.9,70.0,0.0,1319.0,34.33
6400,2.52584,0.1258,32565.6,1.3,71.0,0.0,1319.0,50.91
6500,2.40908,0.1259,32531.9,6.2,70.0,17.0,1319.0,43.9
6600,2.38053,0.1272,32208.5,1.7,72.0,30.0,1319.0,50.28
6700,2.32262,0.1263,32427.2,0.9,72.0,0.0,1319.0,50.4
6800,2.35649,0.1252,32703.3,1.3,72.0,2.0,1319.0,50.11
6900,2.28569,0.1267,32320.4,0.9,71.0,17.0,1319.0,47.42
7000,2.40067,0.127,32258.9,6.5,71.0,11.0,1319.0,47.52
7100,2.20773,0.1255,32633.2,2.6,71.0,8.0,1319.0,50.25
7200,2.41715,0.1266,32345.7,1.8,75.0,86.0,1319.0,49.61
7300,2.22839,0.1271,32217.3,3.5,72.0,20.0,1319.0,49.35
7400,2.11353,0.1258,32565.0,0.9,72.0,5.0,1319.0,48.09
7500,2.03402,0.1265,32390.1,5.4,71.0,17.0,1319.0,46.98
7600,2.32314,0.1273,32169.8,1.8,69.0,47.0,1319.0,25.78
7700,2.15347,0.1271,32230.0,1.3,72.0,19.0,1319.0,50.51
7800,2.26807,0.1262,32449.1,1.8,75.0,49.0,1319.0,50.17
7900,2.15932,0.1276,32094.5,1.3,73.0,77.0,1319.0,50.82
8000,2.219,0.1278,32057.9,5.5,72.0,18.0,1319.0,48.6
8100,2.08948,0.1262,32458.0,0.9,72.0,50.0,1319.0,48.09
8200,1.96675,0.1266,32355.7,3.9,76.0,50.0,1319.0,51.16
8300,2.12931,0.1278,32056.4,3.1,71.0,0.0,1319.0,50.83
8400,2.22247,0.1264,32408.2,3.9,72.0,0.0,1319.0,49.63
8500,1.71466,0.1252,32711.2,6.9,72.0,18.0,1319.0,46.68
8600,2.05331,0.1272,32212.8,0.8,73.0,0.0,1319.0,50.59
8700,2.06956,0.1266,32354.9,2.1,72.0,0.0,1319.0,50.61
8800,2.01538,0.1259,32532.9,1.7,72.0,0.0,1325.0,50.62
8900,1.93942,0.1257,32585.9,2.7,75.0,76.0,1511.0,49.28
9000,1.9937,0.1264,32414.2,9.2,72.0,30.0,1501.0,50.19
9100,2.04094,0.125,32759.4,9.2,72.0,2.0,1373.0,50.29
9200,2.04566,0.1264,32397.3,4.8,73.0,0.0,1352.0,51.93
9300,1.97068,0.1276,32093.4,7.2,72.0,0.0,1347.0,50.7
9400,2.04793,0.1289,31768.1,10.8,73.0,0.0,1349.0,50.93
9500,1.95482,0.1307,31343.0,12.7,72.0,8.0,1361.0,51.78
9600,1.81763,0.1315,31148.7,7.8,75.0,28.0,1357.0,47.42
9700,1.90344,0.1314,31178.8,27.3,72.0,0.0,1349.0,50.81
9800,2.0098,0.1315,31139.4,3.1,72.0,0.0,1359.0,50.75
9900,1.94487,0.1312,31221.5,5.3,73.0,0.0,1354.0,50.87
10000,1.99616,0.1297,31571.4,10.1,75.0,58.0,1403.0,48.51
10100,1.88013,0.1289,31782.0,2.2,72.0,0.0,1397.0,50.55
10200,1.78866,0.1282,31948.4,3.4,75.0,66.0,1410.0,48.74
10300,1.63061,0.1269,32280.1,6.0,73.0,70.0,1400.0,51.3
10400,1.77744,0.1278,32046.2,3.9,74.0,0.0,1397.0,51.0
10500,1.68609,0.1281,31967.7,9.9,71.0,17.0,1400.0,46.64
10600,1.65418,0.1293,31674.5,14.3,73.0,2.0,1385.0,51.06
10700,1.60352,0.129,31758.4,4.8,72.0,1.0,1408.0,51.31
10800,1.66666,0.1295,31635.6,7.4,72.0,0.0,1480.0,46.24
10900,1.74988,0.1278,32056.3,7.0,72.0,21.0,1481.0,50.9
11000,1.75989,0.1273,32171.6,8.9,72.0,0.0,1440.0,48.74
11100,1.6266,0.1267,32338.5,13.5,75.0,55.0,1434.0,50.35
11200,1.6604,0.1276,32098.9,18.8,74.0,96.0,1405.0,49.8
11300,1.81555,0.1274,32154.7,2.2,72.0,6.0,1450.0,50.46
11400,1.71527,0.1274,32156.9,9.6,75.0,90.0,1434.0,50.79
11500,1.64758,0.1287,31817.7,5.0,71.0,1.0,1398.0,37.77
11600,1.69864,0.1279,32029.9,11.0,73.0,0.0,1414.0,50.66
11700,1.43696,0.1269,32264.8,0.9,73.0,0.0,1438.0,50.51
11800,1.60895,0.1266,32345.6,0.5,70.0,98.0,1437.0,31.65
