step,train_loss,step_s,tokens_s,cpu_pct,temp_c,gpu_pct,vram_mb,power_w
100,5.95499,0.1418,28884.1,4.5,58.0,8.0,1253.0,44.07
200,5.82275,0.1328,30835.5,6.9,61.0,0.0,1253.0,48.58
300,4.7331,0.1299,31522.4,2.6,64.0,0.0,1253.0,49.3
400,4.36099,0.1286,31853.8,3.5,66.0,0.0,1253.0,49.56
500,4.20029,0.1277,32084.4,7.1,70.0,64.0,1253.0,49.72
600,3.92979,0.131,31274.5,3.2,63.0,71.0,1243.0,29.81
700,3.90349,0.1476,27749.5,1.8,59.0,72.0,1248.0,28.68
800,3.86914,0.1524,26883.4,8.3,66.0,1.0,1397.0,46.72
900,3.78636,0.1524,26879.7,4.4,68.0,75.0,1387.0,49.94
1000,3.65527,0.1536,26668.2,18.6,64.0,0.0,1363.0,28.57
1100,3.6617,0.1632,25095.0,3.1,61.0,32.0,1347.0,28.42
1200,3.61105,0.1642,24939.3,19.3,60.0,0.0,1365.0,27.18
1300,3.47332,0.1759,23282.5,0.9,59.0,38.0,1362.0,27.55
1400,3.50944,0.1923,21304.4,3.9,58.0,0.0,1346.0,27.07
1500,3.35308,0.2072,19765.6,6.6,58.0,15.0,1369.0,27.56
1600,3.34958,0.2075,19735.1,0.4,60.0,98.0,1353.0,28.69
1700,3.46543,0.2068,19807.8,3.5,59.0,0.0,1373.0,27.16
1800,3.39323,0.2074,19748.2,1.4,60.0,20.0,1342.0,27.98
1900,3.14861,0.2076,19727.1,1.3,60.0,98.0,1355.0,28.66
2000,3.18388,0.2087,19630.8,10.7,59.0,18.0,1358.0,28.19
2100,3.1807,0.2083,19666.4,0.9,61.0,91.0,1357.0,29.54
2200,3.0971,0.2083,19664.0,1.9,60.0,1.0,1334.0,27.45
2300,3.17855,0.2083,19659.9,2.6,58.0,0.0,1334.0,27.64
2400,3.23247,0.2085,19648.8,13.1,60.0,98.0,1346.0,28.8
2500,3.05334,0.2081,19684.0,11.1,59.0,0.0,1353.0,26.76
2600,3.01031,0.209,19600.7,7.5,61.0,79.0,1354.0,28.45
2700,3.03051,0.21,19504.5,2.6,60.0,0.0,1360.0,26.96
2800,3.04231,0.1955,20955.7,3.2,66.0,60.0,1398.0,48.49
2900,2.97427,0.1785,22952.5,3.1,68.0,0.0,1391.0,50.08
3000,2.88005,0.1618,25309.1,17.6,69.0,18.0,1361.0,45.94
3100,2.86613,0.1444,28369.3,6.9,72.0,96.0,1359.0,50.17
3200,2.92384,0.129,31746.4,1.3,67.0,59.0,1352.0,29.89
3300,2.95333,0.1265,32371.4,4.4,70.0,4.0,1364.0,49.39
3400,2.93919,0.1264,32406.2,0.9,72.0,0.0,1374.0,50.25
3500,2.82902,0.1256,32622.7,6.4,71.0,0.0,1352.0,47.13
3600,2.82118,0.1253,32686.3,2.2,70.0,0.0,1352.0,50.29
3700,2.89416,0.122,33569.3,0.9,71.0,0.0,1352.0,49.91
3800,2.62505,0.1214,33747.8,1.4,71.0,0.0,1332.0,50.69
3900,2.82239,0.1217,33667.0,0.9,74.0,60.0,1356.0,50.52
4000,2.75554,0.1219,33597.6,8.6,72.0,17.0,1345.0,48.68
4100,2.7761,0.1221,33538.4,19.8,73.0,96.0,1304.0,50.19
4200,2.88278,0.1229,33314.5,4.8,72.0,0.0,1348.0,50.78
4300,2.68027,0.1237,33105.0,3.9,73.0,97.0,1342.0,49.84
4400,2.84167,0.1306,31363.8,21.1,69.0,0.0,1376.0,50.41
4500,2.70393,0.1308,31307.6,6.0,72.0,86.0,1365.0,50.33
4600,2.70855,0.1442,28407.9,7.0,68.0,81.0,1376.0,49.1
4700,2.72085,0.1439,28457.2,0.9,70.0,0.0,1365.0,49.46
4800,2.69127,0.1577,25979.6,1.3,63.0,0.0,1371.0,28.13
4900,2.53075,0.1548,26456.7,1.4,71.0,68.0,1385.0,49.07
5000,2.62862,0.1659,24684.1,6.4,63.0,0.0,1365.0,28.31
5100,2.68121,0.169,24237.3,0.9,63.0,98.0,1365.0,29.65
5200,2.5362,0.1859,22030.2,4.4,60.0,0.0,1330.0,27.86
5300,2.58434,0.1891,21662.0,1.4,60.0,0.0,1367.0,28.17
5400,2.60826,0.2018,20294.8,2.7,60.0,98.0,1368.0,28.71
5500,2.42876,0.2033,20148.2,10.4,67.0,96.0,1381.0,48.05
5600,2.39523,0.1878,21805.2,1.6,65.0,98.0,1364.0,30.09
5700,2.5294,0.1871,21897.3,4.4,65.0,0.0,1390.0,49.1
5800,2.48287,0.1699,24104.3,0.9,69.0,0.0,1375.0,50.07
5900,2.45888,0.1528,26802.0,5.5,71.0,0.0,1382.0,50.38
6000,2.50283,0.1406,29124.7,11.6,71.0,0.0,1396.0,50.2
