step,train_loss,step_s,tokens_s,cpu_pct,temp_c,gpu_pct,vram_mb,power_w
100,6.20689,0.1512,27093.3,10.4,69.0,4.0,1630.0,49.58
200,5.63118,0.1404,29169.0,2.2,71.0,4.0,1606.0,50.17
300,4.81051,0.1372,29844.2,5.3,73.0,54.0,1607.0,51.85
400,4.47699,0.1351,30327.0,5.7,73.0,24.0,1600.0,51.12
500,4.31197,0.1332,30744.6,7.8,72.0,0.0,1616.0,47.0
600,4.14498,0.1298,31562.0,7.9,72.0,1.0,1581.0,46.79
700,4.08761,0.1292,31698.8,3.4,75.0,67.0,1586.0,49.99
800,3.91253,0.129,31750.2,5.7,70.0,0.0,1577.0,32.87
900,3.89421,0.1299,31534.9,4.8,72.0,1.0,1583.0,51.35
1000,3.80981,0.1308,31303.6,12.6,71.0,12.0,1688.0,47.23
1100,3.68265,0.1295,31637.1,13.6,72.0,96.0,1673.0,38.27
1200,3.75611,0.1304,31405.3,7.9,72.0,1.0,1615.0,50.57
1300,3.71147,0.1301,31487.5,2.2,72.0,0.0,1642.0,48.25
1400,3.5576,0.129,31754.5,6.7,75.0,96.0,1635.0,50.78
1500,3.57498,0.1297,31586.7,9.2,71.0,17.0,1634.0,47.05
1600,3.48844,0.1301,31489.0,7.4,75.0,69.0,1640.0,48.97
1700,3.41048,0.1297,31587.9,4.4,75.0,36.0,1627.0,48.52
1800,3.35232,0.1299,31524.1,9.2,69.0,98.0,1615.0,29.67
1900,3.41015,0.1296,31615.8,4.4,72.0,0.0,1647.0,49.99
2000,3.48186,0.1281,31970.8,12.2,72.0,15.0,1626.0,49.0
2100,3.34456,0.1297,31569.4,5.7,71.0,0.0,1625.0,48.71
2200,3.31626,0.1296,31609.9,10.2,71.0,0.0,1609.0,47.19
2300,3.18953,0.1285,31875.5,9.2,72.0,1.0,1619.0,51.15
2400,3.23022,0.1298,31544.8,5.4,72.0,0.0,1613.0,46.47
2500,3.21652,0.1304,31406.1,9.7,73.0,0.0,1619.0,51.53
2600,3.16773,0.1285,31874.5,21.0,75.0,65.0,1682.0,50.05
2700,3.34049,0.1273,32182.5,2.6,73.0,74.0,1635.0,50.02
2800,3.07009,0.128,32006.6,3.1,71.0,0.0,1624.0,49.61
2900,3.23406,0.1262,32445.5,2.1,72.0,42.0,1624.0,49.66
3000,3.00948,0.1246,32883.4,6.2,75.0,49.0,1623.0,49.81
3100,3.10287,0.1238,33086.5,3.1,74.0,30.0,1622.0,49.92
3200,3.08289,0.124,33028.1,7.0,73.0,94.0,1613.0,49.6
3300,3.08243,0.1241,32992.4,7.0,72.0,29.0,1609.0,48.35
3400,3.03409,0.1253,32701.5,6.1,73.0,57.0,1608.0,34.93
3500,3.04616,0.1277,32075.7,16.3,72.0,10.0,1609.0,46.63
3600,2.97649,0.1289,31777.5,3.9,74.0,72.0,1602.0,51.25
3700,3.03588,0.1305,31387.3,5.4,72.0,0.0,1603.0,51.28
3800,3.00122,0.1325,30914.4,9.5,71.0,50.0,1602.0,48.5
3900,3.04104,0.1325,30914.6,7.8,75.0,65.0,1594.0,50.16
4000,2.95166,0.1321,31008.3,14.4,71.0,17.0,1599.0,49.16
4100,2.9898,0.1326,30885.5,7.0,72.0,0.0,1593.0,51.3
4200,2.93153,0.132,31030.7,4.4,75.0,6.0,1599.0,51.18
4300,2.97092,0.13,31508.7,3.5,72.0,0.0,1645.0,46.6
4400,3.04267,0.129,31756.9,2.6,75.0,0.0,1636.0,50.12
4500,2.88614,0.1273,32167.5,5.6,72.0,0.0,1626.0,50.54
4600,2.80928,0.1259,32538.1,3.1,73.0,35.0,1662.0,51.15
4700,3.02256,0.125,32771.5,1.3,72.0,30.0,1642.0,50.11
4800,2.98191,0.1241,32994.8,2.2,73.0,91.0,1643.0,50.16
4900,3.0313,0.1238,33082.5,8.3,72.0,0.0,1641.0,50.48
5000,2.67696,0.1241,33018.6,8.3,71.0,17.0,1620.0,46.15
5100,2.81032,0.1241,32998.2,6.9,74.0,0.0,1438.0,50.69
5200,2.74,0.1244,32938.7,3.0,72.0,0.0,1420.0,50.09
5300,2.76838,0.1247,32849.9,1.8,72.0,0.0,1548.0,50.27
5400,2.73239,0.1248,32807.4,1.8,73.0,45.0,1455.0,50.96
5500,2.77704,0.1252,32712.0,5.7,70.0,18.0,1454.0,45.65
5600,2.83042,0.1246,32871.2,2.6,75.0,68.0,1436.0,50.21
5700,2.91281,0.1239,33053.3,5.2,75.0,82.0,1421.0,50.51
5800,2.60735,0.1236,33145.4,6.6,72.0,25.0,1421.0,50.58
5900,2.78404,0.1242,32982.8,1.8,71.0,0.0,1421.0,50.46
6000,2.89169,0.1236,33132.7,9.7,71.0,13.0,1421.0,47.13
