step,train_loss,step_s,tokens_s,cpu_pct,temp_c,gpu_pct,vram_mb,power_w
100,5.99568,0.1385,29580.4,1.3,70.0,18.0,1423.0,47.9
200,5.02985,0.1295,31618.0,0.9,71.0,91.0,1423.0,48.47
300,4.63424,0.1266,32360.8,2.5,72.0,0.0,1423.0,49.67
400,4.36984,0.1251,32744.2,3.9,74.0,81.0,1423.0,49.16
500,4.22752,0.1242,32976.6,6.0,72.0,53.0,1423.0,49.16
600,4.09065,0.1206,33951.7,2.6,71.0,0.0,1423.0,49.95
700,4.03781,0.1207,33941.5,2.5,71.0,0.0,1423.0,49.49
800,3.85322,0.1207,33934.1,0.9,72.0,0.0,1423.0,50.11
900,3.84722,0.1207,33925.6,3.4,73.0,17.0,1423.0,50.22
1000,3.74582,0.1207,33924.8,6.2,70.0,17.0,1423.0,45.73
1100,3.6319,0.1207,33921.4,0.8,71.0,0.0,1423.0,49.84
1200,3.70831,0.1207,33924.8,0.5,72.0,77.0,1423.0,49.65
1300,3.65127,0.1213,33781.0,19.0,71.0,0.0,1437.0,48.13
1400,3.52275,0.1225,33428.4,1.3,72.0,0.0,1414.0,51.17
1500,3.54537,0.1242,32983.3,9.3,71.0,18.0,1411.0,46.15
1600,3.47948,0.1248,32808.5,2.9,74.0,1.0,1411.0,49.4
1700,3.37506,0.1249,32789.6,1.8,75.0,92.0,1411.0,49.95
1800,3.32464,0.1262,32465.8,1.3,72.0,0.0,1411.0,50.63
1900,3.39156,0.1259,32526.1,0.5,74.0,29.0,1411.0,50.85
2000,3.48004,0.125,32769.7,6.8,72.0,17.0,1411.0,48.5
2100,3.31928,0.1252,32717.5,2.1,71.0,0.0,1411.0,48.84
2200,3.3016,0.1265,32374.1,3.1,75.0,46.0,1411.0,50.39
2300,3.17355,0.1254,32654.9,1.7,74.0,94.0,1411.0,50.03
2400,3.19716,0.1246,32885.6,2.7,72.0,19.0,1411.0,49.03
2500,3.18736,0.1251,32751.9,7.0,71.0,0.0,1432.0,49.04
2600,3.1533,0.1244,32928.0,2.6,71.0,71.0,1420.0,49.49
2700,3.3166,0.1232,33254.8,2.2,75.0,41.0,1420.0,50.53
2800,3.06048,0.1226,33402.1,4.5,72.0,0.0,1420.0,50.52
2900,3.23344,0.1226,33399.1,3.5,71.0,0.0,1420.0,50.49
3000,2.99895,0.1216,33696.5,6.9,72.0,0.0,1420.0,50.32
3100,3.08747,0.1215,33703.7,1.9,72.0,29.0,1420.0,50.67
3200,3.08017,0.1215,33710.8,1.3,74.0,97.0,1420.0,50.13
3300,3.08868,0.1215,33700.8,1.7,71.0,0.0,1420.0,50.15
3400,3.02224,0.1215,33716.6,1.8,75.0,29.0,1420.0,50.46
3500,3.04895,0.1216,33680.8,8.6,71.0,17.0,1428.0,46.34
3600,2.97783,0.1221,33556.9,5.2,71.0,0.0,1417.0,50.52
3700,3.04615,0.1221,33558.4,3.7,72.0,75.0,1419.0,50.42
3800,3.01414,0.122,33564.2,1.8,74.0,23.0,1417.0,49.76
3900,3.05065,0.1225,33439.1,1.7,72.0,0.0,1417.0,50.34
4000,2.95209,0.1229,33333.0,11.0,72.0,17.0,1417.0,48.57
4100,3.02549,0.1224,33463.8,3.5,74.0,97.0,1417.0,50.09
4200,2.94888,0.1224,33463.3,2.2,72.0,0.0,1417.0,50.3
4300,2.97904,0.1224,33464.6,4.5,75.0,46.0,1417.0,47.93
4400,3.06612,0.122,33586.6,2.2,71.0,0.0,1417.0,50.4
4500,2.92718,0.1214,33726.9,6.9,71.0,17.0,1417.0,46.22
4600,2.87298,0.1215,33721.5,2.2,73.0,0.0,1417.0,50.89
4700,3.04411,0.1215,33722.9,3.2,72.0,0.0,1417.0,50.2
4800,3.02894,0.1219,33608.4,2.2,71.0,38.0,1417.0,48.17
4900,3.06201,0.1219,33611.1,2.5,72.0,1.0,1417.0,50.07
5000,2.73286,0.1218,33619.9,9.5,72.0,55.0,1417.0,50.67
5100,2.83579,0.1218,33624.6,2.2,72.0,0.0,1417.0,50.86
5200,2.78827,0.1218,33627.6,2.6,72.0,18.0,1417.0,49.83
5300,2.8213,0.1218,33619.3,3.9,73.0,93.0,1417.0,49.7
5400,2.79649,0.1219,33611.7,2.2,74.0,17.0,1417.0,50.87
5500,2.85397,0.1224,33458.2,6.5,69.0,7.0,1417.0,49.49
5600,2.90092,0.1224,33471.2,1.8,71.0,0.0,1417.0,49.92
5700,3.00811,0.1229,33334.8,3.1,74.0,29.0,1431.0,49.69
5800,2.68244,0.123,33298.8,2.6,71.0,62.0,1414.0,48.09
5900,2.87248,0.1244,32922.5,3.1,71.0,0.0,1415.0,49.94
6000,2.99742,0.1248,32811.1,7.7,71.0,14.0,1415.0,45.19
