step,train_loss,step_s,tokens_s,cpu_pct,temp_c,gpu_pct,vram_mb,power_w
100,5.99322,0.155,26428.1,15.1,54.0,96.0,1361.0,46.05
200,5.0477,0.1403,29185.8,5.2,57.0,0.0,1369.0,46.83
300,4.62707,0.1349,30359.4,1.7,61.0,2.0,1406.0,48.1
400,4.36591,0.1331,30772.5,0.9,66.0,28.0,1387.0,45.72
500,4.23724,0.1315,31141.7,6.2,66.0,96.0,1401.0,48.72
600,4.11104,0.1259,32525.2,4.4,66.0,0.0,1422.0,49.51
700,4.04824,0.1254,32652.1,1.7,68.0,85.0,1405.0,49.03
800,3.85809,0.1262,32457.2,1.3,69.0,97.0,1400.0,48.77
900,3.85187,0.1252,32703.4,3.1,68.0,0.0,1438.0,48.99
1000,3.7486,0.125,32760.0,7.1,68.0,16.0,1434.0,45.49
1100,3.65082,0.1253,32691.6,3.4,68.0,0.0,1534.0,49.65
1200,3.73192,0.1252,32715.3,9.5,71.0,7.0,1400.0,46.95
1300,3.64874,0.124,33021.9,1.8,71.0,12.0,1390.0,49.93
1400,3.5169,0.1238,33075.8,3.1,69.0,32.0,1388.0,49.37
1500,3.54111,0.1232,33239.7,8.1,69.0,10.0,1388.0,45.62
1600,3.46686,0.1219,33613.3,0.9,72.0,96.0,1389.0,48.93
1700,3.36286,0.1216,33696.0,1.4,70.0,0.0,1387.0,49.92
1800,3.30604,0.1215,33715.6,7.4,73.0,34.0,1388.0,49.57
1900,3.37028,0.1228,33342.1,3.1,70.0,9.0,1383.0,50.36
2000,3.44623,0.1237,33110.7,8.0,69.0,17.0,1381.0,44.18
2100,3.28889,0.1241,33014.0,1.8,72.0,93.0,1381.0,49.49
2200,3.28885,0.1247,32850.3,4.4,72.0,0.0,1381.0,50.63
2300,3.14866,0.126,32509.4,2.2,70.0,2.0,1381.0,50.3
2400,3.16239,0.125,32763.3,0.9,70.0,0.0,1381.0,50.31
2500,3.14964,0.1241,33000.2,5.9,70.0,0.0,1381.0,49.96
2600,3.12812,0.1253,32696.6,2.1,70.0,0.0,1381.0,49.15
2700,3.2714,0.1253,32684.6,1.7,70.0,35.0,1381.0,47.98
2800,3.0208,0.125,32759.4,2.5,73.0,68.0,1402.0,49.83
2900,3.19875,0.1256,32613.5,2.2,73.0,94.0,1446.0,50.43
3000,2.98631,0.1272,32199.2,7.8,70.0,0.0,1411.0,50.15
3100,3.072,0.1267,32318.7,2.2,70.0,0.0,1411.0,50.41
3200,3.01628,0.1261,32475.4,3.5,71.0,61.0,1411.0,50.69
3300,3.02415,0.1269,32270.2,5.3,71.0,0.0,1411.0,51.19
3400,2.9494,0.1263,32439.7,1.3,73.0,94.0,1411.0,49.79
3500,2.99272,0.1254,32658.7,6.9,72.0,0.0,1411.0,50.27
3600,2.91372,0.125,32769.5,3.8,71.0,0.0,1411.0,46.68
3700,2.94944,0.1264,32413.4,3.2,74.0,97.0,1411.0,49.55
3800,2.94472,0.125,32773.0,2.6,71.0,0.0,1411.0,50.31
3900,2.96096,0.1247,32857.1,0.9,74.0,76.0,1411.0,49.8
4000,2.8381,0.1258,32554.0,8.5,70.0,18.0,1411.0,43.29
4100,2.91185,0.1254,32665.5,1.8,72.0,0.0,1411.0,50.79
4200,2.85506,0.1246,32877.8,2.5,72.0,0.0,1411.0,50.1
4300,2.8667,0.1248,32818.2,2.2,74.0,46.0,1411.0,47.9
4400,2.93578,0.126,32506.9,0.9,74.0,96.0,1411.0,50.05
4500,2.7718,0.1248,32825.2,6.3,70.0,13.0,1411.0,46.37
4600,2.71489,0.1247,32846.0,2.2,71.0,0.0,1411.0,48.12
4700,2.90726,0.1261,32489.7,5.0,71.0,0.0,1434.0,50.5
4800,2.88441,0.1263,32420.8,1.7,72.0,16.0,1411.0,50.56
4900,2.89555,0.1257,32591.4,3.9,70.0,0.0,1411.0,48.17
5000,2.57943,0.1259,32527.8,6.3,72.0,67.0,1411.0,51.2
5100,2.68041,0.1267,32330.4,3.2,70.0,0.0,1401.0,50.46
5200,2.62033,0.1252,32708.3,2.2,72.0,91.0,1426.0,50.38
5300,2.66307,0.1245,32900.9,1.8,71.0,0.0,1426.0,49.15
5400,2.62427,0.1257,32579.7,1.4,71.0,0.0,1426.0,50.63
5500,2.61194,0.1249,32786.1,5.6,71.0,0.0,1426.0,49.94
5600,2.6942,0.1252,32722.0,1.7,73.0,43.0,1443.0,47.75
5700,2.80237,0.1247,32844.4,3.2,70.0,0.0,1427.0,50.55
5800,2.47344,0.1246,32866.7,1.3,74.0,68.0,1419.0,49.42
5900,2.6404,0.1228,33361.1,1.8,74.0,20.0,1423.0,49.77
6000,2.70018,0.1226,33414.7,9.3,70.0,16.0,1423.0,43.78
