step,train_loss,step_s,tokens_s,cpu_pct,temp_c,gpu_pct,vram_mb,power_w
100,6.20407,0.1511,27109.3,3.8,62.0,27.0,1579.0,47.6
200,5.69949,0.1366,29975.0,1.3,67.0,35.0,1600.0,49.06
300,4.83256,0.1323,30962.2,3.7,69.0,70.0,1600.0,49.95
400,4.4997,0.1303,31440.4,3.0,70.0,0.0,1600.0,50.19
500,4.31669,0.1299,31542.9,6.9,71.0,12.0,1597.0,50.22
600,4.1611,0.1244,32931.6,0.9,75.0,81.0,1597.0,50.33
700,4.08842,0.1243,32945.8,0.9,73.0,0.0,1597.0,50.04
800,3.91458,0.1262,32460.2,2.2,72.0,59.0,1597.0,48.75
900,3.9114,0.1272,32199.5,10.5,71.0,0.0,1598.0,50.5
1000,3.81024,0.1264,32405.3,5.7,71.0,19.0,1598.0,45.94
1100,3.68334,0.1271,32236.2,3.1,72.0,0.0,1598.0,50.79
1200,3.75639,0.1286,31847.1,3.5,70.0,0.0,1598.0,36.12
1300,3.70334,0.127,32239.9,0.4,73.0,0.0,1598.0,49.91
1400,3.56145,0.1269,32269.2,2.7,72.0,0.0,1598.0,51.08
1500,3.57635,0.1282,31948.6,6.9,71.0,17.0,1598.0,46.4
1600,3.50167,0.1278,32056.1,15.3,75.0,58.0,1620.0,48.43
1700,3.39658,0.1268,32315.2,5.3,72.0,0.0,1611.0,48.23
1800,3.36104,0.1261,32472.2,5.2,72.0,17.0,1589.0,46.54
1900,3.41946,0.1253,32681.7,5.2,73.0,97.0,1587.0,42.36
2000,3.51231,0.1238,33081.1,10.3,72.0,16.0,1587.0,47.75
2100,3.32371,0.1242,32966.0,2.3,69.0,0.0,1587.0,48.96
2200,3.33453,0.1235,33155.8,3.1,70.0,0.0,1587.0,47.16
2300,3.2048,0.1238,33089.7,2.6,71.0,29.0,1587.0,50.0
2400,3.21149,0.1235,33171.4,2.3,69.0,0.0,1587.0,35.55
2500,3.22111,0.1232,33250.1,7.1,75.0,21.0,1587.0,50.56
2600,3.15774,0.1226,33419.6,6.3,72.0,8.0,1613.0,46.13
2700,3.32338,0.1235,33175.0,3.1,72.0,0.0,1607.0,46.73
2800,3.07229,0.1239,33060.8,4.4,71.0,0.0,1607.0,46.07
2900,3.23934,0.124,33034.2,7.7,72.0,0.0,1607.0,50.61
3000,3.01323,0.1243,32960.3,7.6,72.0,18.0,1607.0,46.46
3100,3.11272,0.1244,32916.5,1.4,72.0,0.0,1607.0,50.36
3200,3.08466,0.1243,32955.2,2.2,75.0,69.0,1607.0,50.27
3300,3.0712,0.1246,32884.9,2.9,75.0,97.0,1611.0,50.08
3400,3.01002,0.1255,32648.8,1.9,75.0,64.0,1600.0,49.58
3500,3.0697,0.1266,32344.5,5.8,72.0,52.0,1600.0,51.47
3600,2.97169,0.1274,32155.7,6.1,72.0,0.0,1627.0,50.55
3700,3.03451,0.1279,32029.5,13.1,72.0,0.0,1601.0,48.15
3800,2.99717,0.1274,32141.6,3.5,72.0,0.0,1602.0,50.36
3900,3.03684,0.1268,32310.9,6.9,68.0,0.0,1620.0,27.08
4000,2.91451,0.1266,32343.9,10.2,72.0,18.0,1635.0,48.37
4100,3.00535,0.1255,32627.0,5.7,72.0,45.0,1635.0,50.19
4200,2.92903,0.1246,32860.8,3.1,76.0,67.0,1635.0,50.29
4300,2.95909,0.1248,32824.5,1.3,72.0,0.0,1635.0,50.38
4400,3.03114,0.1249,32805.5,2.2,72.0,12.0,1635.0,49.6
4500,2.87525,0.1243,32953.3,7.6,71.0,0.0,1635.0,43.25
4600,2.80637,0.1244,32936.9,1.4,75.0,90.0,1640.0,49.62
4700,3.01703,0.1245,32895.3,2.3,72.0,0.0,1640.0,48.76
4800,2.99925,0.1243,32963.9,4.3,73.0,96.0,1640.0,48.75
4900,3.02061,0.1241,32997.5,3.8,73.0,0.0,1640.0,50.19
5000,2.6885,0.1237,33117.8,6.9,72.0,0.0,1640.0,50.08
5100,2.79163,0.1244,32924.1,1.3,70.0,99.0,1640.0,28.28
5200,2.72816,0.1251,32742.7,6.1,72.0,0.0,1661.0,50.78
5300,2.76117,0.1257,32581.7,1.3,73.0,21.0,1659.0,51.54
5400,2.74857,0.1267,32335.2,3.4,74.0,97.0,1618.0,49.87
5500,2.77369,0.1267,32335.0,5.0,76.0,42.0,1618.0,50.49
5600,2.83892,0.1256,32603.8,1.7,73.0,0.0,1618.0,50.5
5700,2.91865,0.1263,32436.4,2.9,70.0,71.0,1619.0,31.38
5800,2.59714,0.1255,32629.4,5.9,72.0,0.0,1619.0,48.72
5900,2.77654,0.1247,32855.5,3.5,72.0,52.0,1619.0,50.48
6000,2.89714,0.1249,32781.6,9.3,68.0,11.0,1619.0,31.06
