step,train_loss,step_s,tokens_s,cpu_pct,temp_c,gpu_pct,vram_mb,power_w
100,6.20941,0.1487,27552.4,14.0,55.0,2.0,1615.0,47.43
200,5.57403,0.1367,29961.9,13.0,60.0,2.0,1615.0,48.05
300,4.80942,0.1326,30898.9,11.4,67.0,58.0,1615.0,48.92
400,4.45839,0.1305,31387.4,13.5,67.0,14.0,1615.0,49.22
500,4.3077,0.1293,31682.6,19.3,67.0,1.0,1615.0,49.43
600,4.15519,0.1245,32899.9,8.8,71.0,47.0,1615.0,47.11
700,4.09892,0.1244,32917.4,12.5,69.0,55.0,1615.0,49.87
800,3.91118,0.1245,32910.1,1.4,69.0,88.0,1622.0,49.76
900,3.90173,0.1238,33098.2,0.9,69.0,0.0,1622.0,49.24
1000,3.81013,0.123,33289.5,6.4,69.0,14.0,1622.0,46.77
1100,3.69043,0.1223,33501.4,2.3,70.0,0.0,1622.0,49.75
1200,3.76284,0.1215,33699.9,2.6,70.0,0.0,1622.0,49.17
1300,3.70339,0.1209,33890.8,2.2,72.0,70.0,1622.0,50.06
1400,3.55664,0.1341,30537.9,100.0,69.0,0.0,2415.0,35.94
1500,3.58436,0.152,26948.9,11.6,72.0,0.0,1727.0,40.24
1600,3.50059,0.1536,26671.8,2.3,69.0,99.0,1733.0,31.23
1700,3.40715,0.1541,26572.8,16.2,72.0,0.0,1684.0,48.74
1800,3.34889,0.1554,26365.9,14.0,72.0,7.0,1688.0,47.77
1900,3.42753,0.143,28643.8,1.8,71.0,0.0,1679.0,46.59
2000,3.49172,0.1254,32669.1,8.1,71.0,17.0,1670.0,44.81
2100,3.33262,0.1241,33012.4,6.4,75.0,68.0,1670.0,50.11
2200,3.31885,0.1238,33081.0,1.9,71.0,20.0,1671.0,46.78
2300,3.18677,0.1228,33342.0,2.7,72.0,0.0,1671.0,48.93
2400,3.18391,0.1222,33513.7,1.8,75.0,53.0,1671.0,50.51
2500,3.21349,0.1222,33510.0,6.6,72.0,9.0,1652.0,50.48
2600,3.15234,0.1222,33513.1,2.6,72.0,44.0,1652.0,50.25
2700,3.31716,0.1223,33496.1,7.4,72.0,54.0,1684.0,51.74
2800,3.05985,0.1229,33341.3,16.6,72.0,0.0,1673.0,48.58
2900,3.23272,0.123,33298.0,1.4,72.0,0.0,1648.0,46.18
3000,2.99708,0.1235,33164.0,9.6,75.0,59.0,1661.0,50.82
3100,3.09204,0.1235,33161.7,2.7,72.0,0.0,1648.0,50.32
3200,3.05442,0.1234,33187.8,1.7,72.0,0.0,1648.0,50.57
3300,3.05042,0.1229,33329.5,9.8,74.0,95.0,1662.0,50.81
3400,2.99178,0.1227,33372.8,2.5,72.0,53.0,1646.0,50.05
3500,3.03271,0.1222,33513.9,6.8,74.0,4.0,1646.0,50.19
3600,2.94654,0.1222,33519.9,2.2,72.0,49.0,1646.0,49.69
3700,2.99667,0.1222,33507.6,1.8,71.0,47.0,1443.0,48.16
3800,2.97185,0.1221,33536.9,6.7,72.0,1.0,1461.0,50.51
3900,3.02094,0.1224,33453.7,5.1,71.0,0.0,1461.0,50.44
4000,2.87678,0.1224,33475.6,7.7,72.0,69.0,1461.0,48.59
4100,2.96141,0.1223,33504.6,2.6,72.0,11.0,1461.0,50.19
4200,2.88466,0.1221,33548.2,2.6,72.0,0.0,1461.0,50.31
4300,2.89724,0.122,33569.3,3.4,72.0,0.0,1461.0,45.94
4400,2.98981,0.1216,33692.5,1.3,75.0,78.0,1461.0,50.32
4500,2.82097,0.1216,33694.5,14.3,71.0,9.0,1461.0,46.06
4600,2.74136,0.1216,33696.6,1.3,72.0,0.0,1461.0,50.7
4700,2.95536,0.1215,33704.5,3.9,75.0,53.0,1461.0,48.15
4800,2.92284,0.1215,33701.2,3.3,74.0,91.0,1461.0,49.63
4900,2.93083,0.1215,33702.8,4.8,74.0,97.0,1461.0,50.41
5000,2.61701,0.1215,33703.7,7.5,71.0,12.0,1461.0,46.69
5100,2.72766,0.1215,33700.2,1.3,72.0,74.0,1461.0,49.85
5200,2.66063,0.1215,33703.9,2.6,75.0,81.0,1461.0,49.67
5300,2.70245,0.1215,33708.6,1.8,75.0,96.0,1461.0,49.76
5400,2.65884,0.1215,33707.2,0.9,71.0,0.0,1461.0,50.4
5500,2.68434,0.1215,33709.5,6.7,71.0,18.0,1461.0,46.13
5600,2.74722,0.1215,33719.6,2.2,72.0,0.0,1461.0,50.45
5700,2.8298,0.1215,33716.8,2.6,72.0,0.0,1461.0,50.19
5800,2.52341,0.1219,33587.9,2.6,72.0,42.0,1461.0,50.23
5900,2.69014,0.122,33585.4,1.8,72.0,28.0,1461.0,49.76
6000,2.78212,0.122,33567.4,9.1,72.0,20.0,1503.0,48.94
6100,2.72651,0.123,33303.7,3.7,75.0,62.0,1510.0,50.53
6200,2.66397,0.1232,33244.1,21.8,72.0,72.0,1473.0,49.87
6300,2.65227,0.123,33292.0,1.7,72.0,0.0,1458.0,50.53
6400,2.74409,0.1237,33107.5,2.9,72.0,36.0,1472.0,50.33
6500,2.64864,0.1237,33105.6,6.2,71.0,0.0,1459.0,50.36
6600,2.64514,0.1229,33339.5,3.3,73.0,96.0,1459.0,50.88
6700,2.58129,0.1228,33362.4,1.7,72.0,55.0,1459.0,50.49
6800,2.62578,0.1226,33416.2,3.1,71.0,50.0,1459.0,48.14
6900,2.55271,0.122,33575.9,2.2,76.0,41.0,1459.0,50.68
7000,2.61139,0.1225,33445.9,7.6,76.0,38.0,1459.0,50.98
7100,2.49871,0.1225,33440.1,3.3,73.0,72.0,1459.0,50.44
7200,2.69493,0.1224,33455.1,1.1,75.0,83.0,1459.0,49.98
7300,2.46799,0.1231,33287.2,1.8,71.0,77.0,1459.0,50.13
7400,2.43732,0.123,33312.9,4.8,74.0,78.0,1459.0,50.57
7500,2.35405,0.1225,33442.6,6.9,74.0,30.0,1459.0,50.4
7600,2.61854,0.1225,33448.6,2.6,72.0,55.0,1459.0,49.68
7700,2.46064,0.1229,33323.6,0.9,72.0,0.0,1459.0,45.93
7800,2.57712,0.1223,33486.2,1.3,72.0,0.0,1459.0,50.6
7900,2.5517,0.1224,33459.9,2.1,72.0,0.0,1459.0,50.3
