step,train_loss,step_s,tokens_s,cpu_pct,temp_c,gpu_pct,vram_mb,power_w
100,6.47777,0.1474,27779.8,3.5,56.0,51.0,1479.0,43.88
200,5.95958,0.1338,30601.9,2.2,58.0,44.0,1428.0,44.58
300,5.13429,0.1299,31530.3,0.9,65.0,43.0,1451.0,48.04
400,4.70282,0.1297,31582.9,1.9,65.0,0.0,1445.0,49.65
500,4.50118,0.1282,31954.4,15.0,66.0,0.0,1446.0,48.9
600,4.29675,0.1231,33264.5,3.1,66.0,0.0,1446.0,48.78
700,4.24551,0.1238,33083.8,1.8,71.0,85.0,1446.0,48.73
800,4.06087,0.1249,32791.4,2.6,72.0,91.0,1451.0,49.2
900,4.0998,0.1234,33185.4,7.0,69.0,0.0,1451.0,50.09
1000,4.03198,0.1242,32990.8,16.5,69.0,0.0,1453.0,49.91
1100,3.94441,0.1257,32578.1,4.3,73.0,74.0,1455.0,50.04
1200,4.00068,0.1255,32638.4,3.1,72.0,7.0,1457.0,49.37
1300,3.95106,0.1244,32919.8,1.8,73.0,78.0,1461.0,49.27
1400,3.80822,0.1255,32649.3,1.3,70.0,0.0,1461.0,48.21
1500,3.81901,0.1256,32623.7,6.2,70.0,0.0,1465.0,47.8
1600,3.72378,0.1239,33047.8,3.1,70.0,9.0,1465.0,49.4
1700,3.64719,0.124,33035.5,0.9,72.0,6.0,1465.0,49.99
1800,3.61897,0.1256,32611.2,1.3,72.0,0.0,1467.0,50.25
1900,3.65956,0.1255,32645.1,10.5,71.0,0.0,1468.0,50.08
2000,3.74537,0.1244,32918.1,7.8,71.0,66.0,1468.0,47.96
2100,3.5736,0.1256,32614.3,1.3,71.0,32.0,1468.0,51.42
2200,3.5599,0.1261,32480.9,1.7,72.0,0.0,1468.0,50.12
2300,3.45877,0.1246,32873.3,3.1,71.0,0.0,1468.0,50.01
2400,3.44712,0.1238,33078.1,0.8,73.0,6.0,1468.0,50.58
2500,3.45981,0.1258,32548.9,7.0,72.0,0.0,1468.0,49.96
2600,3.42426,0.1249,32790.0,1.4,71.0,0.0,1468.0,50.23
2700,3.5809,0.1241,33006.1,1.7,71.0,0.0,1468.0,50.26
2800,3.32369,0.1258,32550.0,1.1,71.0,27.0,1468.0,51.24
2900,3.46478,0.1264,32399.6,1.7,71.0,69.0,1468.0,49.47
3000,3.22412,0.125,32772.3,6.4,71.0,0.0,1468.0,46.22
3100,3.34636,0.1246,32862.9,3.5,72.0,0.0,1468.0,50.21
3200,3.35743,0.1267,32319.4,1.9,75.0,81.0,1468.0,49.81
3300,3.34128,0.125,32761.0,1.9,71.0,0.0,1468.0,49.44
3400,3.28083,0.1243,32958.6,2.2,72.0,9.0,1468.0,50.22
3500,3.29824,0.1246,32868.9,4.6,72.0,0.0,1470.0,51.69
3600,3.2554,0.1258,32567.4,0.9,73.0,87.0,1470.0,49.02
3700,3.29754,0.1247,32840.0,2.3,72.0,0.0,1470.0,47.6
3800,3.25028,0.1243,32948.7,4.7,71.0,0.0,1470.0,46.23
3900,3.28741,0.1266,32347.0,3.9,71.0,0.0,1470.0,50.61
4000,3.22334,0.126,32509.1,6.8,71.0,18.0,1470.0,44.49
4100,3.26881,0.1251,32749.0,1.3,72.0,0.0,1470.0,50.27
4200,3.22816,0.1251,32752.9,1.8,72.0,0.0,1470.0,51.67
4300,3.263,0.1266,32351.0,2.6,73.0,0.0,1470.0,49.1
4400,3.34392,0.1251,32747.4,2.9,74.0,91.0,1470.0,49.5
4500,3.21754,0.1247,32839.8,5.9,71.0,17.0,1470.0,46.32
4600,3.17201,0.1269,32270.9,4.3,71.0,0.0,1470.0,47.46
4700,3.3027,0.1264,32410.8,0.9,71.0,0.0,1472.0,46.14
4800,3.30832,0.1256,32601.7,0.5,72.0,0.0,1472.0,50.15
4900,3.32826,0.1261,32491.7,0.9,72.0,0.0,1472.0,50.77
5000,3.01265,0.1273,32173.1,5.2,72.0,0.0,1472.0,50.2
5100,3.11385,0.1252,32707.9,0.4,72.0,0.0,1474.0,50.47
5200,3.06124,0.1255,32635.1,2.6,72.0,0.0,1474.0,50.6
5300,3.08813,0.1265,32381.2,1.3,71.0,0.0,1474.0,50.18
5400,3.09503,0.1258,32572.3,2.9,72.0,58.0,1474.0,50.05
5500,3.14418,0.1249,32793.7,5.9,71.0,15.0,1475.0,44.94
5600,3.17988,0.1273,32169.0,0.9,71.0,0.0,1475.0,40.01
5700,3.28219,0.1271,32214.2,1.3,74.0,98.0,1475.0,49.76
5800,2.94321,0.1256,32619.0,4.8,72.0,13.0,1475.0,50.49
5900,3.14095,0.1272,32211.1,0.9,69.0,0.0,1475.0,50.23
6000,3.26023,0.1275,32128.1,11.4,70.0,8.0,1476.0,44.24
