step,train_loss,step_s,tokens_s,cpu_pct,temp_c,gpu_pct,vram_mb,power_w
100,6.46235,0.1457,28108.2,0.9,58.0,0.0,1508.0,47.12
200,5.9518,0.1336,30665.6,3.1,65.0,93.0,1508.0,47.32
300,5.13705,0.13,31511.5,1.8,69.0,82.0,1484.0,48.26
400,4.71235,0.1279,32028.3,2.2,67.0,0.0,1488.0,49.57
500,4.49608,0.1268,32304.6,13.3,69.0,2.0,1513.0,49.9
600,4.29883,0.1222,33508.1,1.8,73.0,37.0,1499.0,50.82
700,4.24269,0.124,33020.8,0.9,72.0,0.0,1493.0,50.29
800,4.06813,0.124,33037.2,0.9,70.0,0.0,1493.0,49.62
900,4.10048,0.1241,33007.8,3.5,75.0,87.0,1495.0,48.18
1000,4.03721,0.1253,32698.5,5.8,71.0,0.0,1495.0,47.5
1100,3.93142,0.1256,32615.0,3.6,72.0,32.0,1495.0,50.5
1200,4.00087,0.1243,32945.6,0.8,72.0,0.0,1495.0,48.25
1300,3.9396,0.1246,32876.1,2.6,72.0,0.0,1495.0,50.81
1400,3.80558,0.1259,32526.6,1.3,72.0,0.0,1495.0,48.49
1500,3.82853,0.1252,32728.1,7.3,71.0,0.0,1495.0,46.67
1600,3.71011,0.1251,32749.8,1.9,71.0,0.0,1495.0,50.09
1700,3.64331,0.1267,32337.3,1.7,73.0,0.0,1495.0,48.2
1800,3.60917,0.1263,32427.7,0.9,74.0,97.0,1495.0,49.83
1900,3.64402,0.125,32756.0,1.7,76.0,39.0,1499.0,50.32
2000,3.71383,0.1256,32601.4,9.1,75.0,42.0,1499.0,49.66
2100,3.54081,0.1261,32472.8,2.6,72.0,71.0,1488.0,50.15
2200,3.55256,0.1245,32896.5,23.7,68.0,0.0,1485.0,35.7
2300,3.42941,0.1244,32925.2,1.8,71.0,0.0,1486.0,50.12
2400,3.42478,0.1243,32957.0,2.1,74.0,8.0,1502.0,49.84
2500,3.43301,0.1239,33066.0,7.7,71.0,17.0,1490.0,46.28
2600,3.39883,0.1233,33224.9,4.8,75.0,46.0,1491.0,50.04
2700,3.53905,0.1231,33263.6,1.1,73.0,0.0,1491.0,50.47
2800,3.28805,0.1234,33199.3,12.3,73.0,56.0,1524.0,51.08
2900,3.44859,0.1238,33097.4,2.2,72.0,0.0,1528.0,50.21
3000,3.21393,0.1239,33055.4,4.9,69.0,0.0,1549.0,49.18
3100,3.3123,0.1233,33212.5,3.0,71.0,44.0,1549.0,47.48
3200,3.32436,0.1229,33341.4,2.6,72.0,0.0,1549.0,50.3
3300,3.30152,0.1225,33427.8,3.1,75.0,92.0,1549.0,50.19
3400,3.24322,0.1223,33502.1,2.2,72.0,0.0,1549.0,45.84
3500,3.27967,0.1222,33523.2,6.7,72.0,2.0,1549.0,50.18
3600,3.18768,0.1229,33327.8,1.7,72.0,0.0,1548.0,50.23
3700,3.23662,0.1236,33151.5,0.9,72.0,0.0,1548.0,50.14
3800,3.2104,0.1256,32614.9,4.8,73.0,1.0,1578.0,51.05
3900,3.24251,0.1266,32364.5,6.1,72.0,0.0,1550.0,48.31
4000,3.18309,0.1269,32272.9,3.5,67.0,17.0,1550.0,24.72
4100,3.23377,0.1279,32037.5,1.8,71.0,0.0,1550.0,49.72
4200,3.16214,0.1288,31804.6,3.2,72.0,49.0,1550.0,50.2
4300,3.18535,0.1274,32142.6,0.8,72.0,0.0,1550.0,45.9
4400,3.26846,0.1278,32042.2,0.9,71.0,64.0,1551.0,49.15
4500,3.13332,0.1281,31968.1,6.6,73.0,0.0,1551.0,50.28
4600,3.08518,0.1276,32108.4,2.6,76.0,67.0,1551.0,49.9
4700,3.25386,0.1271,32237.4,4.3,72.0,0.0,1551.0,46.27
4800,3.23727,0.1292,31705.7,7.8,75.0,95.0,1524.0,49.4
4900,3.23152,0.1284,31898.2,17.9,72.0,0.0,1602.0,49.9
5000,2.92078,0.1274,32153.6,8.7,72.0,18.0,1625.0,46.17
5100,3.02999,0.1274,32139.3,1.7,72.0,11.0,1601.0,47.59
5200,2.95659,0.127,32258.5,2.5,72.0,32.0,1601.0,50.52
5300,3.00285,0.1247,32849.7,2.2,72.0,0.0,1723.0,48.62
5400,2.98169,0.1247,32842.9,3.5,72.0,0.0,1604.0,47.49
5500,3.03467,0.1251,32731.9,6.6,72.0,2.0,1603.0,45.87
5600,3.06365,0.1246,32865.9,2.2,72.0,55.0,1603.0,48.11
5700,3.16451,0.1246,32863.0,0.5,72.0,40.0,1603.0,47.92
5800,2.84692,0.1257,32592.5,1.3,71.0,0.0,1603.0,50.35
5900,3.03071,0.1252,32704.4,1.8,72.0,33.0,1603.0,50.58
6000,3.16019,0.1243,32940.3,9.2,72.0,18.0,1603.0,48.76
