step,train_loss,step_s,tokens_s,cpu_pct,temp_c,gpu_pct,vram_mb,power_w
100,5.99076,0.2042,20054.4,4.9,63.0,0.0,1755.0,47.88
200,6.02088,0.1963,20863.4,3.2,69.0,97.0,1749.0,52.49
300,6.08995,0.1925,21273.7,6.0,69.0,0.0,1757.0,48.96
400,6.02848,0.1901,21550.9,3.8,71.0,0.0,1757.0,49.9
500,6.01653,0.1886,21717.4,6.8,70.0,0.0,1754.0,49.5
600,5.94402,0.1843,22221.5,0.8,73.0,47.0,1754.0,51.42
700,6.01748,0.1833,22350.4,9.8,75.0,91.0,1754.0,52.7
800,5.93969,0.183,22385.8,2.1,71.0,0.0,1754.0,49.34
900,5.97114,0.1834,22328.1,3.0,74.0,46.0,1754.0,50.28
1000,5.91448,0.1834,22330.1,4.9,70.0,0.0,1754.0,49.49
1100,5.96988,0.1834,22332.2,1.1,71.0,0.0,1754.0,49.31
1200,5.98724,0.1833,22340.1,4.9,74.0,41.0,1754.0,51.31
1300,5.99519,0.1832,22358.0,1.9,71.0,0.0,1754.0,49.27
1400,5.98125,0.1827,22424.9,3.3,75.0,98.0,1755.0,52.1
1500,5.99582,0.1825,22437.8,5.7,72.0,0.0,1755.0,49.19
1600,5.94313,0.1824,22452.2,1.5,72.0,0.0,1755.0,49.52
1700,5.97533,0.1823,22466.7,0.8,72.0,0.0,1755.0,50.04
1800,6.00956,0.1822,22481.7,1.4,71.0,0.0,1755.0,50.17
1900,5.98835,0.1822,22481.7,0.7,75.0,98.0,1755.0,52.24
2000,6.01968,0.1825,22449.7,7.3,73.0,35.0,1755.0,51.08
2100,5.99046,0.183,22385.2,3.0,70.0,96.0,1755.0,50.99
2200,6.00404,0.183,22387.6,2.5,70.0,0.0,1755.0,49.53
2300,6.00312,0.183,22388.0,1.8,71.0,0.0,1755.0,49.72
2400,5.96368,0.1833,22341.3,2.6,75.0,41.0,1755.0,52.17
2500,5.98367,0.1831,22370.1,7.7,72.0,0.0,1755.0,49.69
2600,5.93395,0.183,22384.0,0.8,70.0,0.0,1755.0,40.1
2700,6.02796,0.1837,22300.1,1.1,67.0,76.0,1755.0,49.83
2800,5.90139,0.1836,22312.6,7.2,71.0,90.0,1755.0,52.52
2900,5.96597,0.1832,22359.0,1.8,71.0,0.0,1755.0,49.17
3000,5.91081,0.1832,22355.8,6.8,70.0,0.0,1755.0,49.55
